,indicator,1,2,3,4,5,6,7,8
0,-1,143.05,143.27,142.73,142.9999,143.02,142.79,142.9,142.73
1,0,146.98,146.88,146.99,147.04,147.42,147.29,147.45,147.61
2,-1,147.6,147.53,148.0,147.9,148.42,148.28,148.21,150.9199
3,0,148.62,148.26,148.0085,148.4499,148.85,149.0,148.3499,148.25
4,1,144.34,142.11,141.57,141.61,141.34,144.17,141.28,141.19
5,0,144.81,144.34,142.11,141.57,141.61,141.34,144.17,141.28
6,-1,144.91,144.81,144.34,142.11,141.57,141.61,141.34,144.17
7,0,145.47,144.91,144.81,144.34,142.11,141.57,141.61,141.34
8,0,151.17,151.2,151.21,151.16,150.42,150.5,150.25,151.15
9,-1,150.35,150.26,150.09,149.91,150.0,150.0,151.4296,151.83
10,0,148.44,148.23,148.35,148.64,148.55,148.83,148.98,149.53
11,1,149.96,148.74,148.36,149.03,148.76,148.6,148.29,148.09
12,0,150.98,150.65,150.2,149.86,149.88,150.79,150.49,149.96
13,-1,151.17,151.07,151.22,151.68,151.58,152.07,152.0885,152.7
14,0,147.87,149.97,148.0399,148.81,150.0554,151.3499,151.48,151.17
15,1,149.38,148.88,149.18,149.19,149.26,148.68,148.15,147.87
16,0,150.89,150.45,150.09,150.07,150.28,150.28,150.57,150.1
17,-1,148.94,150.0,150.27,150.34,150.25,152.73,153.22,153.59
18,0,144.6102,146.87,147.29,147.59,147.35,147.3,148.74,147.99
19,1,137.98,137.41,136.7102,136.57,135.54,135.4799,135.17,134.94
20,0,139.16,140.64,139.65,139.66,139.9,140.0,140.05,139.1
21,-1,139.93,139.75,140.08,140.49,139.52,140.89,141.32,141.43
22,0,135.65,136.88,138.5,138.62,138.3,138.24,138.22,138.23
23,1,139.95,140.43,141.74,142.67,140.18,138.3,136.5599,135.65
24,0,139.0,139.8,139.95,140.43,141.74,142.67,140.18,138.3
25,-1,137.731078566,137.701128346,139.0,139.8,139.95,140.43,141.74,142.67
26,0,140.097145949,138.998971214,138.969020994,137.731078566,137.701128346,139.0,139.8,139.95
27,1,140.536415843,140.556382656,140.117112762,140.097145949,138.998971214,138.969020994,137.731078566,137.701128346
28,0,150.799357911,150.43995527,150.220220489,150.400021643,150.38005483,150.679557031,150.35010461,150.150436476
29,-1,146.406658971,145.847588197,145.997339297,151.657930885,155.771094438,156.220347738,156.729501479,157.23865522
30,0,145.65790347,148.00400404,147.095514032,145.74775413,146.127123584,146.117140177,146.406658971,145.847588197
31,1,148.143771734,149.251929875,148.798683212,148.053921074,147.025630185,146.446592598,145.562262434,144.514803405
32,0,151.637964072,151.737798139,150.310170983,149.271896689,149.281880095,150.449938677,149.551432076,149.351763942
33,-1,151.178727365,151.238627805,151.627980665,151.622988962,151.498196378,151.967416492,152.236968473,152.246951879
34,0,144.659562802,145.098832696,145.35840127,145.857571604,146.042264627,146.406658971,147.602571257,147.394916399
35,1,143.541421254,143.43160378,143.25190246,142.632931246,142.483180146,142.553063992,142.053893658,141.944076185
36,0,143.960724334,144.240259722,145.058899069,145.647920063,145.588019623,145.168716543,144.449911262,143.40165356
37,-1,143.062217733,142.662881466,142.912466633,143.870873674,143.960724334,144.240259722,145.058899069,145.647920063
38,0,143.751072794,143.661222134,143.062217733,142.662881466,142.912466633,143.870873674,143.960724334,144.240259722
39,1,142.993032725,143.351736527,143.721122574,144.350077195,143.751072794,143.661222134,143.062217733,142.662881466
40,0,145.41830171,146.456576005,145.71780391,144.939098189,145.058899069,145.38835149,145.168716543,143.651238727
41,-1,142.8625496,143.261885867,145.008982036,144.140425655,144.579695549,144.769380276,145.41830171,146.456576005
42,0,140.206963423,140.206963423,140.96570233,142.453229926,141.984009812,141.654557391,141.694491018,142.353395859
43,1,139.278506601,138.949054181,138.779336267,138.250215713,138.130414833,137.870846259,142.752732126,139.867527595
44,0,139.408290888,139.278506601,138.949054181,138.779336267,138.250215713,138.130414833,137.870846259,142.752732126
45,0,139.977345069,139.408290888,139.278506601,138.949054181,138.779336267,138.250215713,138.130414833,137.870846259
46,0,142.732765313,143.062217733,142.193661352,143.0123007,143.142084987,144.419961042,144.280193348,141.894159152
47,-1,142.512830864,142.573030806,142.732765313,143.062217733,142.193661352,143.0123007,143.142084987,144.419961042
48,0,138.769352861,138.749386047,139.218606161,139.767693529,136.16867542,136.662854051,142.373362672,141.135420244
49,1,138.330082967,138.539734507,138.569684727,138.769352861,138.749386047,139.218606161,139.767693529,136.16867542
50,0,139.667859462,139.847560782,140.167029796,140.566366063,140.616283096,140.226930236,140.586332876,140.286331506
51,-1,146.306824904,147.155414472,147.065563812,145.637936657,145.158733136,145.737770724,146.756078205,147.295182166
52,0,137.611277686,137.880829666,138.719435827,139.218606161,141.350063487,141.335088377,141.195320684,142.003976625
53,1,140.616283096,140.117112762,139.578008802,138.010613953,137.541393839,137.461526585,137.301792078,137.221924825
54,0,147.9441036,147.85425294,146.756078205,149.217986292,146.955746339,144.050574995,143.681188947,143.701155761
55,-1,151.508179785,148.253589207,147.185364692,147.170389582,147.514817113,148.133788327,148.842610201,150.391435914
56,0,147.025630185,146.157073804,151.508179785,148.253589207,147.185364692,147.170389582,147.514817113,148.133788327
57,1,149.501515042,146.526459851,147.025630185,146.157073804,151.508179785,148.253589207,147.185364692,147.170389582
58,0,151.627980665,151.737798139,151.947449679,149.501515042,146.526459851,147.025630185,146.157073804,151.508179785
59,0,151.657930885,151.627980665,151.737798139,151.947449679,149.501515042,146.526459851,147.025630185,146.157073804
60,0,152.746122213,152.945790347,153.095541447,154.463268162,153.784396508,153.315176394,151.568080225,151.448279345
61,-1,150.729474064,150.979059231,153.075574634,152.4266532,152.746122213,152.945790347,153.095541447,154.463268162
62,0,150.310170983,152.496537046,153.514944362,152.586387707,151.837632205,151.188710771,151.448279345,151.747781545
63,1,150.41000505,150.52980593,150.549772744,150.55975615,150.599689777,150.549772744,150.20035351,149.531465262
64,0,151.997366712,152.656271553,152.7261554,152.626321333,154.213682995,152.60635452,152.63630474,152.736138807
65,-1,156.599717192,157.208705,158.137161821,157.16377967,156.270264772,157.110068942,157.787742587,158.476597648
66,0,155.182073443,157.618024674,157.817692807,156.839318952,156.330165212,157.498223793,156.939153019,156.859285766
67,1,151.098860111,150.709507251,150.729474064,150.929142198,151.048943078,149.721149989,149.062245148,148.952427675
68,0,164.326873963,164.45665825,164.626376163,164.626376163,160.273610851,159.73450689,157.009036866,156.499883125
69,-1,163.578118462,163.608068682,163.578118462,163.907570882,164.406741216,164.326873963,164.45665825,164.626376163
70,0,153.884230575,154.153782555,155.300875983,154.343467282,154.263600029,154.193716182,154.433317942,155.621343337
71,1,156.130497078,156.120513671,158.736166222,155.581409711,155.537582555,156.100546858,155.4166835,153.884230575
72,0,155.781077844,156.140480485,155.890895318,156.130497078,156.120513671,158.736166222,155.581409711,155.537582555
73,-1,155.791061251,155.850961691,155.781077844,156.140480485,155.890895318,156.130497078,156.120513671,158.736166222
74,0,155.16210663,155.092222783,154.942471683,154.912521463,154.92250487,155.65748327,155.201041916,155.002372123
75,1,156.180414112,156.270264772,156.010696198,155.01235553,154.86260443,154.842637616,154.593052449,154.493218383
76,0,159.474938316,159.904224803,160.095906212,159.85430777,159.714540076,157.461584691,156.305206695,156.250297958
77,-1,158.386746988,158.286912921,158.017360941,157.927510281,157.997394127,159.474938316,159.904224803,160.095906212
78,0,157.41835654,156.150463891,155.771094438,155.731160811,157.158787966,158.157128634,158.236995888,158.326846548
79,1,155.880911911,156.689567852,156.959119833,157.218688406,157.41835654,156.150463891,155.771094438,155.731160811
80,0,162.629694827,161.032349758,161.920872953,162.340176033,162.000740206,162.270292187,161.182100859,161.222034485
81,-1,169.837714451,170.067332804,169.71791357,169.228726643,169.248693456,169.707930164,170.187133684,170.846038525
82,0,167.501597287,167.701265421,167.421730034,167.561497727,167.831049708,167.741199048,167.611414761,167.870983335
83,1,168.430054109,167.551514321,167.770650097,167.895941851,167.771149268,167.751182454,166.95250992,166.702924753
84,0,173.96086141,174.100629103,174.270347017,174.060695477,174.430081524,174.35021427,174.250380203,174.20046317
85,-1,172.413433374,173.182155689,174.02076185,174.160529543,173.706284539,174.250380203,174.489981964,175.857708679
86,0,165.215397157,165.205413751,164.96581199,165.175463531,167.900933555,168.370153669,168.200435755,167.965825698
87,1,164.72621023,164.885944737,164.776127264,165.165480124,164.87596133,164.676293197,164.406741216,164.027371762
88,0,166.173804199,166.303588486,166.403422552,167.501597287,167.531547507,166.792775413,165.475065565,165.275297598
89,-1,164.84601111,165.964152659,165.824384965,166.173804199,166.303588486,166.403422552,167.501597287,167.531547507
90,0,166.07258338,166.680725269,166.082552919,164.985903611,165.230157321,165.065659925,165.105538081,165.554167344
91,1,161.755772923,161.257295964,161.277235043,161.117722416,161.117722416,160.788727624,159.741926012,159.472748454
92,0,161.815590158,161.536443061,161.147631034,161.008057485,161.347021817,161.506534444,162.50348836,163.131569327
93,-1,155.46997848,156.611490714,156.691247028,157.159815368,156.920546428,157.119937212,163.370838267,163.510411815
94,0,156.850759654,156.31240454,156.31240454,155.973440208,156.023287904,155.614536798,155.365298319,155.425115554
95,1,152.773218137,152.384406109,152.384406109,152.005563621,152.103265105,152.61869028,152.005563621,151.217970027
96,0,155.803958042,155.524810946,155.245663849,154.448100716,154.059288689,153.580750809,154.059288689,153.849928366
97,-1,154.617582882,154.448100716,154.527857029,154.846882283,155.255633388,155.425115554,155.385237397,155.803958042
98,0,149.762417309,149.75244777,150.390498277,150.480224129,150.769340765,151.407391271,151.646660211,151.467208506
99,1,150.968731548,150.94879247,150.334369771,150.639736756,147.389666988,146.731677404,146.622012473,146.30298722
100,0,149.592935144,149.592935144,149.612874222,151.437299889,151.287756801,151.108305096,151.237909105,151.237909105
101,-1,149.054580029,149.114397264,149.792325927,149.812265005,149.592935144,149.592935144,149.612874222,151.437299889
102,0,145.236246529,144.32891877,144.638074179,146.721707865,146.871250952,147.210215284,148.391605674,148.496285836
103,1,145.973992427,145.973992427,145.246216068,144.777647728,144.727800032,144.488531092,144.528409249,143.930236899
104,0,147.768509477,146.322926298,145.555271782,145.415698234,145.405728695,145.405728695,145.993931506,145.904205653
105,-1,143.710907037,144.259231691,145.146520677,145.116612059,147.539210076,147.210215284,147.72364655,147.997808877
106,0,144.707860954,144.558317866,144.558317866,144.667982797,143.760754733,143.710907037,144.259231691,145.146520677
107,1,146.018855354,145.016916668,144.707860954,144.558317866,144.558317866,144.667982797,143.760754733,143.710907037
108,0,145.605119478,145.744693027,145.754662566,146.226221768,145.684875792,145.286094225,145.216307451,145.196368373
109,-1,145.316002843,145.540317474,146.173383211,146.821303561,147.0108245,146.851311874,146.66189063,147.100550353
110,0,137.021346259,136.642503771,136.433143448,136.253691743,136.732229623,135.904757872,136.17393543,136.084209577
111,1,138.805893769,138.67628976,136.89174225,136.552777918,136.582686536,137.400188747,137.180858885,135.186951053
112,0,136.88177271,137.300493355,137.95848294,139.204675336,140.241507408,139.842725842,139.62339598,139.294401188
113,-1,137.380249669,137.579640452,137.101102572,136.88177271,137.300493355,137.95848294,139.204675336,140.241507408
114,0,137.101102572,137.200797964,137.380249669,137.579640452,137.101102572,136.88177271,137.300493355,137.95848294
115,1,137.828878931,137.370280129,137.101102572,137.200797964,137.380249669,137.579640452,137.101102572,136.88177271
116,0,142.594318651,142.24538478,142.135719849,142.534501416,142.524531877,143.052917452,142.514562338,142.654135886
117,-1,141.228491786,141.318217638,142.594318651,142.24538478,142.135719849,142.534501416,142.524531877,143.052917452
118,0,137.749122618,137.828878931,139.424005197,139.573548285,139.483822432,139.374157501,139.364187962,140.640288975
119,1,135.685428011,136.041240864,136.552777918,136.223783126,134.987560269,134.808108565,134.788169486,134.429266076
120,0,132.893957045,133.153165063,133.482159856,133.831093727,135.530900154,137.340371512,136.567034359,135.685428011
121,-1,135.286646444,134.568839625,132.893957045,133.153165063,133.482159856,133.831093727,135.530900154,137.340371512
122,0,135.994483725,135.57576308,135.525915384,135.386341836,135.286646444,134.568839625,132.893957045,133.153165063
123,1,135.81503202,135.994483725,135.57576308,135.525915384,135.386341836,135.286646444,134.568839625,132.893957045
124,0,136.642503771,135.834971098,135.765184324,135.81503202,135.994483725,135.57576308,135.525915384,135.386341836
125,-1,135.57576308,134.090301745,134.020514971,133.890910962,133.79121557,136.044331421,136.482991144,136.642503771
126,0,131.189165848,131.28886124,131.587947415,131.548069258,132.255906539,132.016537903,132.425388705,131.916942207
127,1,131.936881286,134.339540224,132.275845617,131.677673267,130.760475664,130.786396466,131.348678475,129.808384674
128,0,135.924696951,136.273630822,132.59487087,131.428434788,131.508191102,131.936881286,134.339540224,132.275845617
129,-1,135.486037228,135.924696951,136.273630822,132.59487087,131.428434788,131.508191102,131.936881286,134.339540224
130,0,135.157042435,135.486037228,135.924696951,136.273630822,132.59487087,131.428434788,131.508191102,131.936881286
131,1,136.074240038,136.921650867,135.157042435,135.486037228,135.924696951,136.273630822,132.59487087,131.428434788
132,0,134.469144233,134.120110667,136.074240038,136.921650867,135.157042435,135.486037228,135.924696951,136.273630822
133,-1,134.140149441,134.329570685,134.200764239,134.075347436,134.469144233,134.120110667,136.074240038,136.921650867
134,0,132.874017967,132.654688105,134.060393127,133.362525386,132.844109349,132.545023175,132.435358244,133.482159856
135,1,134.788169486,134.120210362,134.645505381,133.908756437,133.841063266,132.913896124,132.216028382,132.11633299
136,0,148.835250167,147.499331919,147.210215284,146.472469385,146.073687819,146.193322289,145.595149939,144.348957544
137,-1,148.037687034,148.047656573,148.077565191,147.997808877,147.947961182,148.486316296,148.396490749,149.413184352
138,0,145.973992427,145.854357957,146.093626897,145.435637312,145.276124686,145.10664252,144.917221276,145.435637312
139,1,146.053748741,145.973992427,145.854357957,146.093626897,145.435637312,145.276124686,145.10664252,144.917221276
140,0,147.220184823,147.549179615,147.299941136,147.190276205,147.858235329,148.116346698,147.886648516,146.123535515
141,-1,144.887312659,147.270032519,147.220184823,147.549179615,147.299941136,147.190276205,147.858235329,148.116346698
142,0,145.296063764,145.126581598,145.196368373,145.026886207,144.887312659,147.270032519,147.220184823,147.549179615
143,1,145.659951944,145.89842332,145.276124686,145.296063764,145.126581598,145.196368373,145.026886207,144.887312659
144,0,150.370559198,150.809218921,150.749401686,150.749401686,151.028548783,151.138213714,150.240955189,149.862112701
145,-1,150.23098565,150.156513192,150.370559198,150.809218921,150.749401686,150.749401686,151.028548783,151.138213714
146,0,149.104427725,148.466377218,148.576042149,149.483170517,150.23098565,150.156513192,150.370559198,150.809218921
147,1,148.137382426,148.426499061,149.403513899,149.533117909,148.336773209,148.197199661,148.237077817,148.047656573
148,0,149.433422517,151.058457401,151.277787262,149.353666204,148.137382426,148.426499061,149.403513899,149.533117909
149,-1,149.144305881,149.024671411,148.586011688,148.506255375,148.815311089,149.433422517,151.058457401,151.277787262
150,0,143.890358742,143.621181185,143.900328281,143.381912245,143.252308236,143.531455332,143.710907037,143.80063289
151,1,140.759923445,141.353111025,140.211598791,140.091964321,139.972329851,139.822786764,140.10193386,138.19775188
152,0,140.201629252,139.757984759,139.334279345,140.759923445,141.353111025,140.211598791,140.091964321,139.972329851
153,-1,140.3412028,140.889527454,141.168674551,140.759923445,140.072025243,140.121872939,139.424005197,141.697060126
154,0,139.129903792,139.842725842,139.27446211,139.792878146,140.511183443,140.440898192,140.3412028,140.889527454
155,1,140.969283767,140.570502201,140.570502201,140.809771141,141.068979159,141.068979159,141.5375475,138.9155587
156,0,142.484554025,142.813648513,143.013039296,142.84355713,140.829710219,140.969283767,140.570502201,140.570502201
157,-1,140.600410818,141.248430864,141.64721243,142.823618052,142.430419427,142.484554025,142.813648513,143.013039296
158,0,139.932152608,140.271416026,137.111072111,136.473021605,134.040454049,134.528961468,137.469975521,137.47994506
159,1,139.03519317,139.563578745,139.563578745,139.932152608,140.271416026,137.111072111,136.473021605,134.040454049
160,0,139.174766718,139.03519317,139.563578745,139.563578745,139.932152608,140.271416026,137.111072111,136.473021605
161,-1,137.908635244,139.673243676,139.174766718,139.03519317,139.563578745,139.563578745,139.932152608,140.271416026
162,0,139.842725842,139.842725842,138.726137456,138.985345474,137.47994506,137.400188747,137.579640452,137.908635244
163,1,140.590441279,139.972329851,139.842725842,139.842725842,138.726137456,138.985345474,137.47994506,137.400188747
164,0,147.949755699,148.376751061,148.875128324,149.313788047,148.964854176,148.944915098,149.16424496,149.04461049
165,-1,147.947961182,148.885097863,147.868204868,148.227108278,147.949755699,148.376751061,148.875128324,149.313788047
166,0,146.821403256,146.841342335,146.851311874,146.233200446,146.223230906,145.70481487,146.053748741,146.941037726
167,1,144.608165562,146.18335275,143.671028881,145.682981579,145.754662566,142.165628467,142.036024458,140.052086164
168,0,154.976486292,153.740263435,153.371390486,152.065380856,149.523148369,147.818357172,146.562195238,146.751616482
169,-1,156.252587305,156.142922374,154.178923159,154.03934961,154.03934961,154.228770854,155.883714356,156.412099931
170,0,151.596812515,152.204954404,152.284710718,154.378313942,154.168953619,153.481055417,153.291634173,155.524810946
171,1,154.059288689,152.843004911,153.191938781,153.072304311,152.73333998,153.142091086,152.464162423,151.596812515
172,0,158.944362879,158.954332418,158.894515183,157.369175691,158.21658652,156.970394124,156.78097288,156.701216567
173,-1,159.44893701,160.59375987,160.088046815,160.324975372,161.210968717,162.186556893,163.361244698,165.73053027
174,0,154.640680996,154.043382112,157.517670619,157.587355489,157.447985749,157.278751066,157.248886121,157.995509726
175,1,157.5276256,158.154789428,157.328525972,157.000011586,156.293207907,155.889035663,154.640680996,154.043382112
176,0,159.060692735,157.23893114,157.228976159,157.219021177,157.438030768,158.085104559,157.776500135,157.876049949
177,-1,159.777451396,160.772949535,159.259792363,158.931277977,160.832679424,162.116872024,165.242736182,165.451790791
178,0,164.257193024,159.717721507,159.777451396,160.772949535,159.259792363,158.931277977,160.832679424,162.116872024
179,1,163.774376426,169.22472874,164.257193024,159.717721507,159.777451396,160.772949535,159.259792363,158.931277977
180,0,161.778402656,162.534981242,163.251739903,163.16214507,163.774376426,169.22472874,164.257193024,159.717721507
181,-1,160.384705261,160.597542763,161.778402656,162.534981242,163.251739903,163.16214507,163.774376426,169.22472874
182,0,155.536629321,157.686905303,157.159291289,157.408165824,157.288706047,157.288706047,158.213822468,157.676950321
183,1,160.0960108,158.682303892,159.200062475,158.931277977,158.314069131,158.423573926,156.691407163,154.710365865
184,0,162.116872024,162.266196745,162.01732221,161.8082676,163.032730312,162.146736968,160.0960108,158.682303892
185,-1,162.515071279,162.395611503,162.495161317,162.116872024,162.266196745,162.01732221,161.8082676,163.032730312
186,0,159.906866154,159.837181284,159.916821135,161.217937204,162.435431428,162.564846186,162.515071279,162.395611503
187,1,163.420974586,162.883405591,161.001914107,160.66344474,160.792859498,160.66344474,159.817271321,159.777451396
188,0,165.670800382,166.0889096,165.601115512,165.262646145,166.487108856,166.845488186,167.114173134,166.29796421
189,-1,168.119725805,168.129680786,168.259095545,168.488060117,168.44863839,170.105744593,170.230181861,170.757795875
190,0,168.358645359,167.641886698,167.064497777,166.531906273,167.323327293,167.064497777,167.183957554,167.124128116
191,1,166.636433577,165.522968908,164.735032131,164.685257224,164.506067559,164.545887484,164.257193024,163.550389345
192,0,170.498966359,168.851416938,167.592111791,167.092471275,166.412446496,166.636433577,165.522968908,164.735032131
193,-1,169.58310807,169.632882977,169.931532419,169.523378182,169.682657884,169.891712493,170.160496991,170.498966359
194,0,165.202916256,165.123276405,168.229131051,169.025629112,169.105268963,168.612497384,168.119725805,167.811121382
195,1,166.576703689,166.452266421,166.392536533,166.706118447,166.497063838,166.347739117,165.063546517,165.003816628
196,0,174.958798024,174.43118401,174.709923489,174.550643786,174.43118401,174.36149914,174.212174419,173.206721298
197,-1,176.815402054,177.009524191,177.686462926,177.746192814,177.636688019,177.696417907,177.567003149,177.85569761
198,0,174.092714642,173.385910963,173.236486692,172.101718363,172.022078512,172.957846763,173.858772579,173.624830517
199,1,174.928933079,174.809473303,174.729833452,174.092714642,173.385910963,173.236486692,172.101718363,172.022078512
200,0,177.377858503,177.666552963,178.542591326,177.676507945,176.989614228,177.188713856,177.188713856,177.188713856
201,-1,177.955247424,177.945292442,177.696417907,177.268353707,177.278308689,177.537138205,177.71632787,178.801420842
202,0,174.212174419,174.21715191,173.306271112,173.823930145,174.271904307,174.938888061,174.958798024,174.839338247
203,1,174.013074791,173.983209847,173.903569996,174.142489549,174.212174419,173.216676279,171.325229814,170.747840893
204,0,173.86375007,174.490913898,173.872211804,172.967801745,173.545091116,173.993164828,174.013074791,173.983209847
205,-1,173.067351559,173.097216503,173.017576652,173.525280703,173.973254866,173.973254866,173.86375007,174.490913898
206,0,169.593063052,169.921577438,171.086310261,171.026580373,170.57860621,170.907120596,170.917075577,171.574104349
207,1,150.668643419,151.046932712,150.310164539,150.160939368,150.32021907,150.32021907,150.220669256,149.324720931
208,0,154.899510512,154.660590959,153.704912745,155.397259582,152.629774754,153.306713489,153.426173265,151.843331224
209,-1,158.363844038,157.806365079,157.806365079,157.786455117,157.826275042,158.672448461,158.821773182,161.270698605
210,0,160.215470577,161.748537712,159.677901582,158.234429279,157.059741475,156.790956977,157.027885534,158.473348833
211,1,160.613669833,160.026325931,160.215470577,161.748537712,159.677901582,158.234429279,157.059741475,156.790956977
212,0,161.429978307,161.957592321,161.94773689,162.266196745,162.674350982,162.465296372,161.977502284,161.768447675
213,-1,160.66344474,161.260743624,161.529528121,161.429978307,161.957592321,161.94773689,162.266196745,162.674350982
214,0,159.289657307,159.777451396,158.075149577,156.731227089,156.45248761,157.089606419,160.295110428,160.772949535
215,1,157.66699534,161.429978307,162.146736968,159.289657307,159.777451396,158.075149577,156.731227089,156.45248761
216,0,159.996460986,159.598261731,158.543033703,157.66699534,161.429978307,162.146736968,159.289657307,159.777451396
217,-1,159.130377605,159.996460986,159.996460986,159.598261731,158.543033703,157.66699534,161.429978307,162.146736968
218,0,159.080602698,159.130377605,159.996460986,159.996460986,159.598261731,158.543033703,157.66699534,161.429978307
219,1,159.458891991,159.080602698,159.130377605,159.996460986,159.996460986,159.598261731,158.543033703,157.66699534
220,0,164.277102986,162.206466856,163.261694884,162.345836596,161.459843252,160.9521392,159.862068738,158.801863219
221,-1,162.425476447,162.315971652,161.051689014,159.727676489,160.076100838,161.569348047,162.166646931,164.277102986
222,0,163.331379754,162.505016748,162.425476447,162.315971652,161.051689014,159.727676489,160.076100838,161.569348047
223,1,162.992910386,162.793810759,163.331379754,162.505016748,162.425476447,162.315971652,161.051689014,159.727676489
224,0,164.137733247,165.153141349,164.804717,164.565896997,162.425476447,163.211919977,163.724601519,162.992910386
225,-1,165.581205549,165.790260159,165.710620307,165.6608454,166.039134693,166.029179712,167.203867517,168.149590749
226,0,164.486157596,164.206223519,163.5205244,164.655392279,164.456292652,164.436382689,164.625527335,164.555842466
227,1,160.344885335,160.105965782,159.349387196,159.837181284,159.767496414,157.388255861,155.357439656,155.208114935
228,0,169.662747921,168.776754577,170.808032693,168.348690377,168.388510303,168.348690377,169.145088889,169.284458628
229,-1,172.441183229,172.083002998,170.449191452,170.419326507,170.638336098,170.125654556,172.101718363,172.559647507
230,0,168.239185582,167.990311047,168.43828521,168.717024689,168.816574503,167.8011664,168.627429856,168.189410675
