,indicator,1,2,3,4,5,6
0,-1,141.55,142.07,142.52,142.6,142.62,142.37
1,0,141.22,141.11,141.39,140.5,141.1,142.17
2,-1,148.13,148.06,147.96,147.8,147.95,148.3
3,0,147.2,147.33,147.1785,147.41,146.61,147.43
4,1,143.08,141.2,141.29,140.4958,140.39,140.355
5,0,148.11,148.11,145.03,145.15,145.07,145.3
6,-1,149.76,150.63,151.0327,151.1,151.09,151.11
7,0,149.54,149.62,148.78,149.1,150.63,149.79
8,1,148.06,147.65,148.03,147.7,147.9,146.86
9,0,150.35,150.54,150.86,150.78,150.97,151.0
10,-1,150.7,150.17,150.73,151.28,151.29,151.3
11,0,145.81,145.66,147.3204,148.09,149.61,150.7908
12,1,148.21,147.65,147.41,146.72,145.81,145.66
13,0,149.69,149.75,150.04,149.5,149.57,148.0
14,-1,149.99,149.88,149.71,147.91,151.68,152.12
15,0,149.5,148.07,148.21,148.41,148.55,148.71
16,1,147.74,147.4,147.29,146.9,146.91,144.37
17,0,147.0,146.91,146.8,147.74,147.4,147.29
18,-1,144.4199,146.66,147.0,146.91,146.8,147.74
19,0,136.13,135.0,134.7,134.5933,134.74,134.73
20,1,136.145,136.4101,136.13,135.0,134.7,134.5933
21,0,139.1001,139.5,139.59,139.55,138.4,138.42
22,-1,139.22,138.6515,138.44,138.04,139.2,140.39
23,0,135.4515,135.671,136.072,136.38,136.25,136.84
24,1,136.62,138.12,138.07,138.13,138.07,135.0
25,0,134.45,134.38,136.62,138.12,138.07,138.13
26,0,137.77,134.9,134.49,134.45,134.38,136.62
27,1,136.56,137.77,134.9,134.49,134.45,134.38
28,0,153.205358921,152.077233966,151.667914292,152.320529587,152.75610562,153.115508261
29,-1,144.070541808,144.619629175,151.014001154,154.702869923,154.493218383,156.150463891
30,0,135.774330856,139.168689128,144.479861482,144.859230936,143.451570594,145.23860039
31,1,145.558069403,144.939098189,144.320126975,143.890840488,144.040591588,135.774330856
32,0,148.952427675,148.742776134,148.912494048,148.403340307,148.073887887,147.754418873
33,-1,150.390038237,150.549772744,151.218660991,150.899191977,151.158760551,151.528146598
34,0,147.025630185,147.025630185,147.315148979,147.335115793,145.398334896,145.65790347
35,1,141.814291898,141.794325085,141.614623765,141.764374865,141.624607171,141.335088377
36,0,142.413296299,142.762715533,142.762715533,142.592997619,141.874192338,141.814291898
37,-1,142.563047399,143.172035207,142.273528605,142.233594979,144.330110382,144.589678955
38,0,142.992333886,142.612964433,141.934092778,142.383346079,142.592997619,143.1620518
39,1,142.163711132,142.762715533,142.972367073,141.714457831,141.265204531,141.145403651
40,0,144.180359281,142.163711132,142.762715533,142.972367073,141.714457831,141.265204531
41,-1,140.376681336,141.305138157,143.261885867,144.080525215,144.090508621,144.180359281
42,0,142.727773609,143.361719934,143.900823894,140.376681336,141.305138157,143.261885867
43,1,144.769380276,144.589678955,142.727773609,143.361719934,143.900823894,140.376681336
44,0,141.818285261,144.769380276,144.589678955,142.727773609,143.361719934,143.900823894
45,-1,143.781023014,143.421620374,143.940757521,143.920790708,141.818285261,144.769380276
46,0,139.657876055,138.839236707,140.256880456,140.476515403,140.037245509,140.955718924
47,1,138.160365053,137.960696919,137.970680326,138.020597359,137.810945819,137.771012192
48,0,141.564706731,141.444905851,142.133760912,141.864208932,141.536254022,141.155387057
49,-1,135.754364043,139.837577375,140.336747709,140.66620013,141.835257052,142.393329486
50,0,138.519767694,132.978976986,133.65784864,135.394961402,135.754364043,139.837577375
51,1,138.250215713,138.130414833,138.38,138.389983407,138.519767694,132.978976986
52,0,138.824261597,140.186397605,139.887494409,140.027262102,140.117112762,140.216946829
53,-1,145.028948849,145.62795325,145.757737537,143.741089387,145.77770435,146.007322704
54,0,144.619629175,144.310143568,144.260226535,144.759396869,144.719463242,144.609645769
55,1,137.771012192,137.621261092,136.982323065,137.291808672,137.271841858,136.173667124
56,0,143.49150422,142.493163552,142.113794099,141.894159152,141.215287497,140.446565183
57,-1,146.965729745,147.108292793,148.493190967,147.306663083,149.162079215,149.202012842
58,0,145.41830171,144.599662362,144.919131376,145.817637977,146.656244138,146.965729745
59,1,146.256907871,145.44825193,145.368384676,145.41830171,145.41830171,144.599662362
60,0,152.246951879,152.346785946,152.246951879,151.278561431,149.696191472,150.46990549
61,-1,150.250270543,150.49985571,152.266918693,151.867582426,151.967416492,152.36675276
62,0,150.280220763,149.791033836,149.791732674,150.310170983,150.17040329,150.280220763
63,1,149.612530524,149.06424183,149.511498449,149.162079215,149.211996248,148.313489647
64,0,153.295209581,152.746122213,152.656271553,151.408345718,151.458262752,150.659590217
65,-1,156.090563451,156.261279706,156.050629825,155.661276964,155.900878724,156.70154794
66,0,154.363434096,154.413351129,153.424993868,153.245292547,153.195375514,153.295209581
67,1,150.280220763,150.46990549,150.38005483,150.52980593,149.910834716,148.12380492
68,0,155.04230575,155.082239377,154.393384316,154.593052449,154.276079287,153.834313542
69,-1,163.378450328,163.568135055,163.797753409,164.077288796,164.097255609,164.237023303
70,0,156.790200592,157.019319775,157.17875478,157.17875478,157.158787966,157.737825554
71,1,155.04230575,154.263600029,153.764429695,154.113848929,155.122173003,152.4266532
72,0,155.391824818,155.391724984,154.707861626,155.40170839,155.391724984,155.451625424
73,-1,157.428339947,157.62800808,157.304545704,158.865950509,158.396730395,159.055635236
74,0,155.661276964,155.481575644,154.902538056,154.413351129,154.563102229,155.531492677
75,1,155.691227184,155.032322343,155.661276964,155.481575644,154.902538056,154.413351129
76,0,159.035668422,159.185419522,159.165452709,158.249974316,158.616265508,158.606381935
77,-1,168.629722242,168.751619638,169.697946757,169.697946757,169.697946757,169.807764231
78,0,166.253671452,166.143853979,166.068978429,165.969144362,166.882626073,166.792775413
79,1,166.972476733,167.10226102,166.253671452,166.143853979,166.068978429,165.969144362
80,0,172.912603708,172.962520742,173.252039535,173.511608109,173.571508549,172.233732054
81,-1,172.792802828,172.982487555,173.621425583,173.791143496,173.950878003,174.120595917
82,0,160.818636241,159.552504768,159.313235828,159.063997349,159.253418593,159.353113984
83,1,151.53699528,151.038518322,151.078396479,150.727867482,150.390498277,150.340650581
84,0,154.15898408,154.238740394,154.248709933,154.527857029,154.507917951,154.527857029
85,-1,154.27861855,154.298557629,154.15898408,154.238740394,154.248709933,154.527857029
86,0,150.370559198,152.404345188,152.165574725,151.616751594,151.696507907,152.384406109
87,1,146.751616482,146.761586021,146.253139524,146.372773994,145.993931506,145.854357957
88,0,150.938822931,150.849097078,150.410437355,149.812265005,150.122517064,150.360589659
89,-1,149.323757586,149.533117909,149.523148369,149.51317883,150.151229337,150.938822931
90,0,144.707860954,144.977038511,144.757708649,144.957099433,144.588226484,144.687921875
91,1,145.535332704,145.744693027,145.575210861,145.575210861,141.936329066,141.687190283
92,0,146.393311245,146.881220491,146.908736419,146.273078602,144.608165562,145.256185608
93,-1,143.08282607,144.667982797,145.116711755,146.393311245,146.881220491,146.908736419
94,0,143.591272567,143.900328281,143.08282607,144.667982797,145.116711755,146.393311245
95,1,143.960145516,144.299109848,144.428713857,144.26920123,144.26920123,142.983130678
96,0,146.372773994,145.096672981,145.096672981,146.173383211,145.884266575,146.213261367
97,-1,144.967068972,145.056794824,143.810602429,144.358927083,145.042737774,146.372773994
98,0,135.246768288,135.745245246,135.65731391,136.024392342,136.821955476,137.431094318
99,1,136.084209577,136.183904969,136.134057273,136.183904969,134.50902239,133.366214115
100,0,138.399036876,138.626442064,138.656350682,138.576494673,136.622564692,136.084209577
101,-1,136.453082526,136.53283884,136.502930222,136.253691743,138.327355889,139.015254091
102,0,136.463052066,136.453082526,136.53283884,136.502930222,136.253691743,138.327355889
103,1,136.88177271,136.463052066,136.453082526,136.53283884,136.502930222,136.253691743
104,0,141.457791186,139.942421234,138.412096972,138.227660498,138.07811741,137.160919807
105,-1,141.098887777,141.487699804,141.318217638,141.437852108,141.158705011,141.906420449
106,0,135.81503202,135.93466649,134.239844832,135.21685967,136.004453264,136.503029918
107,1,135.171996744,135.296615984,135.366402758,135.117164279,135.0972252,132.216028382
108,0,135.376372297,135.57576308,135.286646444,135.226829209,135.057347044,135.171996744
109,-1,133.55194663,132.993652437,130.832256346,132.794261654,135.376372297,135.57576308
110,0,132.106363451,133.522038012,133.55194663,132.993652437,130.832256346,132.794261654
111,1,131.099439996,132.106363451,133.522038012,133.55194663,132.993652437,130.832256346
112,0,131.109409535,131.099439996,132.106363451,133.522038012,133.55194663,132.993652437
113,-1,131.019683683,131.109409535,131.099439996,132.106363451,133.522038012,133.55194663
114,0,128.896171841,128.646933362,129.653856817,129.933003914,130.002790688,129.803399905
115,1,129.494344191,129.693734974,129.798415135,129.613978661,128.896171841,128.646933362
116,0,135.625610776,131.109409535,130.800353821,130.850201517,131.229044005,131.248983083
117,-1,131.757429581,134.249814371,134.209936215,135.017468887,135.33649414,135.625610776
118,0,131.478282484,131.847155433,131.897003129,131.627825571,132.604840409,132.59487087
119,1,132.166180686,132.225997921,133.103317368,132.734444419,132.305754235,131.039622761
120,0,148.117443347,148.197199661,147.289971597,147.0108245,147.120489431,147.115404966
121,-1,147.429545145,147.798418094,147.299941136,147.549179615,148.117443347,148.197199661
122,0,143.361973167,143.423186137,145.485485008,146.337880607,146.641951551,147.170337127
123,1,145.615089017,144.967068972,145.006947128,144.518439709,143.511516254,143.361973167
124,0,146.30298722,147.299941136,145.565241322,144.757708649,145.156490216,144.62810464
125,-1,146.821403256,146.990885422,146.691799247,146.312956759,146.30298722,147.299941136
126,0,144.019962751,144.568287405,144.408774779,144.478561553,144.368896622,144.797586806
127,1,147.200245744,147.13045897,146.622012473,145.276124686,144.807556345,144.019962751
128,0,150.639736756,150.94879247,149.413483439,149.563026526,147.200245744,147.13045897
129,-1,149.612973917,149.602904683,150.340650581,150.569949982,150.639736756,150.94879247
130,0,148.059121543,148.067595652,147.937991642,148.037886425,147.96790026,147.449484223
131,1,148.536163992,148.276955974,148.725585236,148.137382426,147.13045897,146.392713072
132,0,148.107473808,149.024671411,149.184184038,149.343696664,149.51317883,148.436468601
133,-1,147.72863132,148.107473808,149.024671411,149.184184038,149.343696664,149.51317883
134,0,137.609549069,137.878726627,138.167843263,137.858787548,136.722260084,136.981468102
135,1,137.828878931,137.609549069,137.878726627,138.167843263,137.858787548,136.722260084
136,0,139.583517824,139.27446211,139.184736257,138.247599576,137.659396765,137.689305383
137,-1,138.267538654,138.526746672,138.29056829,139.932451694,140.261446487,140.789832062
138,0,140.420959113,140.480776348,140.291355104,138.805893769,136.911681328,137.440066904
139,1,139.972329851,140.420959113,140.480776348,140.291355104,138.805893769,136.911681328
140,0,141.378034873,141.089616105,141.6305633,141.462775956,142.614257729,140.231537869
141,-1,139.832756303,141.378034873,141.089616105,141.6305633,141.462775956,142.614257729
142,0,136.782077319,136.782077319,137.380249669,137.579640452,137.529792756,137.489914599
143,1,138.43702082,137.649427226,136.642503771,135.904757872,133.19304322,132.206058843
144,0,147.559149154,146.931068187,146.30298722,145.335941921,144.378965857,142.325141094
145,-1,147.200245744,146.85161096,148.336773209,148.645729228,148.80534155,148.905036941
146,0,144.558317866,144.667982797,144.618135101,144.757708649,144.977038511,146.163413671
147,1,145.365850538,145.635028096,145.545302243,143.900328281,143.980084595,143.740815655
148,0,145.305933608,146.008287642,146.243169985,146.552225699,146.731677404,145.216307451
149,-1,144.358927083,145.305933608,146.008287642,146.243169985,146.552225699,146.731677404
150,0,138.377203585,138.975375935,140.569106465,140.879557915,141.746907822,141.41791303
151,1,139.772939068,139.664769568,140.809771141,140.141812017,139.573548285,138.377203585
152,0,154.677400117,155.644445416,155.634475876,155.674354033,151.53699528,150.888975235
153,-1,153.730293896,153.879836984,154.677400117,155.644445416,155.634475876,155.674354033
154,0,152.464162423,152.783187676,154.75715643,153.56081173,153.630598505,153.530903113
155,1,152.314619335,151.492132354,151.098335557,151.636790367,151.347574036,151.028548783
156,0,155.754110346,155.325420162,156.172830991,156.621460254,156.322374079,156.352282696
157,-1,155.036303527,155.106090301,153.710354818,154.109136384,156.820851037,156.840790115
158,0,155.734171268,155.036303527,155.106090301,153.710354818,154.109136384,156.820851037
159,1,155.724201729,155.734171268,155.734171268,155.036303527,155.106090301,153.710354818
160,0,164.924176777,163.341334735,163.759443954,163.908768675,163.908768675,163.635603985
161,-1,160.822724442,158.941232959,162.554891205,159.428330198,164.784807038,165.033681572
162,0,158.393708982,157.507715638,157.826275042,158.562943666,158.752088312,158.88150307
163,1,154.610816052,153.894057391,154.31216661,154.132976945,153.013041538,152.579999847
164,0,156.542082442,156.601812331,157.039831512,157.089606419,157.149336307,156.980101624
165,-1,158.254339242,158.304114149,158.284204186,158.294159168,159.787406377,160.991959126
166,0,159.080602698,158.911368014,158.254339242,158.304114149,158.284204186,158.294159168
167,1,159.747586452,161.758492693,162.146736968,161.818222582,159.478801954,152.808964419
168,0,158.333979093,158.214519317,159.349387196,159.747586452,161.758492693,162.146736968
169,0,155.3873046,155.317619731,154.401761442,154.680500921,156.629188529,156.293207907
170,1,157.358390917,157.457940731,157.617220433,157.418120805,156.014468428,153.157388768
171,0,162.136781986,161.151238828,161.788357638,161.499663177,161.330428493,161.280653586
172,-1,157.746635191,157.886004931,158.552988684,158.692358424,159.731558932,162.146736968
173,0,158.493258796,158.353889056,158.284204186,157.746635191,157.886004931,158.552988684
174,1,159.120422624,158.433528907,158.493258796,158.353889056,158.284204186,157.746635191
175,0,165.173051312,165.262646145,164.794762019,164.864446889,165.183006293,165.143186368
176,-1,167.761346475,167.811121382,167.383057182,167.686684114,168.119725805,169.135233457
177,0,163.361244698,163.610119233,164.038183433,164.048138414,163.172100052,164.147688228
178,1,164.297012949,164.436382689,164.416472726,164.416472726,164.257193024,162.266196745
179,0,169.384008442,169.384008442,169.334233535,169.284458628,169.234683721,169.29441361
180,-1,169.184908814,169.2993911,169.349166007,169.364098479,169.334233535,169.384008442
181,0,166.288009228,165.889809972,165.942471824,166.686208484,166.845488186,166.895263093
182,1,164.506067559,164.257193024,164.645437298,164.754942093,164.51602254,162.266196745
183,0,169.364098479,170.065924668,170.260046805,170.160496991,170.737885912,170.429281489
184,-1,176.312675493,176.21312568,176.123530847,176.223080661,176.890064414,177.517228242
185,0,173.137036428,173.117126466,173.216676279,173.137036428,173.017576652,173.614875535
186,1,174.540688805,173.903569996,172.569602489,171.822978884,171.733384052,171.165950112
187,0,175.904521256,176.621279917,177.089164042,177.06925408,177.079209061,177.278308689
188,-1,175.924431219,176.014026052,176.681009805,177.477408317,177.726282852,177.845742628
189,0,174.928933079,174.829383266,174.809473303,174.839338247,173.704470368,175.546141926
190,1,173.714425349,173.734335312,173.893615014,173.973354415,170.568651228,169.961397363
191,0,172.549692526,173.714425349,173.734335312,173.893615014,173.973354415,170.568651228
192,-1,173.385910963,172.549692526,173.714425349,173.734335312,173.893615014,173.973354415
193,0,158.60843793,158.981052884,159.130377605,158.88150307,158.981052884,158.831728163
194,1,154.829825642,155.845233745,156.925349226,156.502262517,155.825323782,153.764642633
195,0,155.52667434,157.039831512,156.900461772,156.691407163,155.078700177,154.829825642
196,-1,154.013517168,154.142931926,153.894057391,153.953787279,155.52667434,157.039831512
197,0,148.826971861,149.354585875,149.334675912,149.633325354,150.001659665,151.60441167
198,1,149.493955614,149.53377554,149.593405878,149.772695093,148.448682568,148.259537921
199,0,153.804462559,153.724822707,153.714867726,153.635227875,153.74473267,153.077748917
200,-1,157.328525972,157.288706047,157.686905303,158.284204186,158.383754,159.44893701
201,0,155.297709768,155.277799805,156.422622665,156.701362145,157.278751066,157.159291289
202,1,159.130377605,157.318570991,156.890506791,155.695909024,155.297709768,155.277799805
203,0,161.619122954,161.051689014,161.171148791,159.916821135,159.777451396,159.200062475
204,-1,160.298893321,160.842634405,160.832679424,161.061643996,161.549438084,161.828177563
205,0,155.755638912,156.392757721,157.228976159,159.797361359,159.847136266,159.478801954
206,1,158.543033703,158.343934075,157.0995614,157.696860284,155.347882874,155.09861014
207,0,163.341334735,163.381154661,163.142235107,161.489708196,161.370248419,161.758492693
208,-1,165.173051312,165.272601126,165.183006293,165.461745772,165.396042895,166.765748785
209,0,162.455341391,163.858993768,162.973000424,163.032730312,161.698762805,161.907817414
210,1,163.411019605,160.633579796,161.260743624,161.569348047,161.788357638,160.374750279
211,0,162.744035852,163.281604847,163.241784921,163.958543582,163.679804103,163.59020927
212,-1,162.087007079,163.112370163,162.744035852,163.281604847,163.241784921,163.958543582
213,0,153.436128247,152.161890628,152.062340814,151.216167396,154.262391703,154.421671405
214,1,154.302211628,154.013517168,153.436128247,152.161890628,152.062340814,151.216167396
215,0,162.037232172,162.455341391,161.09150894,159.961618552,159.030827791,159.190107493
216,-1,162.714170907,163.580254289,163.829128824,164.078003359,164.386607782,165.053591535
217,0,161.997412247,161.420023326,162.714170907,163.580254289,163.829128824,164.078003359
218,1,165.551340605,161.509618159,162.973000424,164.754942093,164.555842466,159.279702326
219,0,166.049089675,165.571250568,165.551340605,161.509618159,162.973000424,164.754942093
220,0,166.009269749,166.377604061,166.049089675,165.571250568,165.551340605,161.509618159
221,0,170.648291079,170.130632047,169.971352345,170.070902159,170.230181861,169.986284817
222,-1,171.474554535,171.424779628,171.106220224,171.215725019,171.22568,171.574104349
223,0,168.139635768,170.240136842,170.777705838,170.747840893,168.119725805,169.483558256
224,1,167.283507368,167.562246847,167.821076363,167.612021754,167.343237256,164.506067559
225,0,174.600418693,174.759698396,174.709923489,174.809473303,173.216676279,172.967801745
226,-1,174.461048954,174.64521611,174.799518321,174.112624605,174.59693445,175.486412038
227,0,171.245589963,171.613924275,171.733384052,171.623879256,171.026580373,171.424779628
228,1,172.768702117,171.703519107,170.717975949,170.946940521,169.523378182,169.254593684
229,0,173.383652478,173.542729171,173.274287252,173.870824849,173.304114132,171.126751904
230,-1,172.498788377,172.230346458,173.383652478,173.542729171,173.274287252,173.870824849
231,0,171.275886303,171.385251529,171.35542465,171.703404914,172.155779258,171.773000967
